client,flv_ok,connect_ms,window_bytes,max_stall_ms,cv_percent,err
205,true,34.0,10470026,5049,53.62,""
206,true,34.4,4928094,5056,85.60,""
207,true,58.5,10542424,5018,55.51,""
208,true,57.9,10525626,5015,72.06,""
209,true,82.2,5823173,4998,66.07,""
210,true,81.7,10448929,4999,74.16,""
211,true,36.2,10448929,5038,89.21,""
212,true,34.2,5418746,5032,41.82,""
213,true,33.6,10470026,5034,63.33,""
214,true,34.1,5191918,5059,59.03,""
215,true,91.6,10525626,4984,69.37,""
216,true,91.5,10448929,4990,75.84,""
217,true,90.9,10448929,4965,90.45,""
218,true,91.4,10387517,4995,80.06,""
219,true,92.0,10387517,4975,69.09,""
220,true,120.3,10470026,4931,60.33,""
221,true,136.6,10218535,4947,54.64,""
222,true,136.5,10470026,4915,69.82,""
223,true,137.6,10448929,4929,93.05,""
224,true,137.2,10470026,4940,67.93,""
225,true,136.5,10491713,4956,61.81,""
226,true,93.5,10470026,4982,83.28,""
227,true,120.1,8283893,4957,63.48,""
228,true,115.2,10448929,4958,79.30,""
229,true,122.1,4514904,4964,62.02,""
230,true,90.6,6644853,4984,88.12,""
231,true,90.9,10470026,4994,55.65,""
232,true,90.4,10448929,4963,73.02,""
233,true,91.9,10525626,4999,60.17,""
234,true,91.1,7481899,4991,44.58,""
235,true,91.0,6860377,4976,69.01,""
236,true,91.7,4826887,4998,42.11,""
237,true,137.5,5174206,4904,41.16,""
238,true,136.8,5093615,4936,49.07,""
239,true,137.5,10470026,4936,63.71,""
240,true,137.9,10448929,4912,75.30,""
241,true,137.1,5968900,4950,55.32,""
242,true,115.4,10100132,4969,95.17,""
243,true,68.2,10311827,5003,61.12,""
244,true,49.7,10100132,5010,60.15,""
245,true,50.0,10126016,5039,62.78,""
246,true,116.2,10448929,4947,94.70,""
247,true,106.2,10470026,4951,67.58,""
248,true,84.4,10448929,4988,73.55,""
249,true,67.7,10525626,5026,79.39,""
250,true,34.4,10448929,5048,71.24,""
251,true,136.2,8320377,4945,63.81,""
252,true,58.1,10326309,5006,72.00,""
253,true,105.3,10470026,4957,65.28,""
254,true,82.2,7590515,4974,64.16,""
255,true,58.4,1949705,6770,45.34,""
256,true,80.6,10525626,4990,68.83,""
257,true,35.3,10448929,5039,84.33,""
258,true,34.3,9983043,5021,74.32,""
259,true,33.7,4900701,5037,107.97,""
260,true,34.5,10448929,5030,59.10,""
261,true,135.6,10526080,4941,63.23,""
262,true,136.5,10470026,4921,80.04,""
263,true,120.2,703344,6657,109.93,"unexpected EOF"
264,true,113.2,10470026,4965,84.03,""
265,true,84.7,9928338,4964,83.84,""
266,true,117.7,6785503,4969,70.63,""
267,true,103.7,8898403,4990,68.86,""
268,true,68.1,3649230,4995,60.11,"unexpected EOF"
269,true,136.7,10525626,4926,71.26,""
270,true,84.5,10470026,4993,70.58,""
271,true,113.8,10470026,4961,75.12,""
272,true,61.0,5105024,4984,76.69,""
273,true,67.5,10526080,4975,109.36,""
274,true,50.2,7780832,5026,91.74,""
275,true,68.3,8725481,4975,72.22,""
276,true,133.2,5847206,4956,47.17,""
277,true,55.3,10460033,5033,64.27,""
278,true,38.1,10470026,5054,79.62,""
279,true,37.9,10470026,5032,112.73,""
280,true,37.2,6439223,5049,59.04,""
281,true,36.9,10470026,5007,70.69,""
282,true,137.9,6453286,4953,52.93,""
283,true,35.9,5434535,5044,44.77,""
284,true,91.2,10470026,4978,60.88,""
285,true,91.9,10470026,4985,63.24,""
286,true,113.6,7050102,4952,61.13,""
287,true,113.4,10232540,4961,62.85,""
288,true,34.2,8089206,5034,53.24,""
289,true,69.3,10470026,5017,108.04,""
290,true,114.1,10470026,4961,80.26,""
291,true,66.6,10126016,5011,61.62,""
292,true,67.2,4444365,4995,48.60,""
293,true,109.5,2348467,5967,49.92,""
294,true,117.0,7118336,4950,53.67,""
295,true,118.1,10326309,4959,71.49,""
296,true,104.0,9884049,4974,75.79,""
297,true,106.4,10542424,4981,61.14,""
298,true,107.3,9055848,4956,79.41,""
299,true,108.0,7109872,4969,79.86,""
300,true,116.7,10370807,4967,76.04,""
301,true,61.9,10161695,4984,67.89,""
302,true,69.1,10470026,5011,73.49,""
303,true,82.1,10311827,4970,82.02,""
304,true,122.7,4218657,4959,44.18,""
305,true,50.5,9222772,5042,56.66,""
306,true,59.3,10525085,5032,73.45,""
307,true,83.7,10448929,5002,57.41,""
308,true,113.3,9951334,4942,79.28,""
309,true,84.0,3799842,5849,82.50,""
310,true,92.4,10448929,4997,82.20,""
311,true,48.5,6654595,5031,66.66,""
312,true,122.2,10448929,4938,63.47,""
