client,flv_ok,bytes,duration_seconds,err
489,true,3292228,10.068,""
490,true,3292228,10.073,""
491,true,2956890,10.110,""
492,true,3292228,10.024,""
493,true,3231951,10.024,""
494,true,1390049,12.055,""
495,true,2758779,10.170,""
496,true,3292228,10.026,""
497,true,3292228,10.072,""
498,true,3292228,10.029,""
499,true,3203010,9.999,""
500,true,1734108,10.370,""
501,true,470028,10.024,""
502,true,3292228,10.030,""
503,true,3292228,10.116,""
504,true,3292228,10.095,""
505,true,3292228,10.026,""
506,true,3292228,10.068,""
507,true,3292228,10.115,""
508,true,3292228,10.093,""
509,true,3292228,10.024,""
510,true,3292228,10.085,""
511,true,3292228,10.037,""
512,true,3292228,10.054,""
513,true,3114319,10.182,""
514,true,446816,10.139,""
515,true,3292228,10.083,""
516,true,2262651,10.188,""
517,true,3061319,10.110,""
518,true,1651987,10.144,""
519,true,3292228,10.047,""
520,true,3292228,10.176,""
521,true,2675934,10.004,""
522,true,2394848,10.186,""
523,true,3292228,10.064,""
524,true,3292228,10.072,""
525,true,3292228,10.120,""
526,true,3292228,10.115,""
527,true,3292228,10.033,""
528,true,3292228,10.024,""
529,true,3246718,10.005,""
530,true,3087748,10.010,""
531,true,3127865,10.178,""
532,true,3292228,10.032,""
533,true,3292228,10.044,""
534,true,3292228,10.066,""
535,true,3292228,10.122,""
536,true,3292228,10.039,""
537,true,3246718,10.005,""
538,true,3292228,10.052,""
539,true,3292228,10.182,""
540,true,3292228,10.048,""
541,true,3203010,10.137,""
542,true,3246718,10.002,""
543,true,3114319,10.375,""
544,true,3292228,10.031,""
545,true,3292228,10.042,""
546,true,3292228,10.041,""
547,true,3292228,10.043,""
548,true,3292228,10.160,""
549,true,3292228,10.034,""
550,true,3114319,10.123,""
551,true,3292228,10.121,""
552,true,2842742,10.813,""
553,true,3136618,10.025,""
554,true,3292228,10.073,""
555,true,3292228,10.052,""
556,true,3292228,10.114,""
557,true,3292228,10.034,""
558,true,3292228,10.046,""
559,true,3292228,10.118,""
560,true,1014965,10.841,""
561,true,3292228,10.098,""
562,true,3292228,10.069,""
563,true,3292228,10.073,""
564,true,3292228,10.126,""
565,true,3292228,10.070,""
566,true,3231951,10.138,""
567,true,477880,10.158,""
568,true,3114319,10.112,""
569,true,2902023,10.508,""
570,true,1926525,10.161,""
571,true,3292228,10.075,""
572,true,3292228,10.073,""
573,true,2995458,10.119,""
574,true,3114319,10.015,""
575,true,3292228,10.119,""
576,true,3292228,10.040,""
577,true,3292228,10.025,""
578,true,3292228,10.053,""
579,true,3292228,10.073,""
580,true,3266113,10.018,""
581,true,3292228,10.032,""
582,true,3145288,10.003,""
583,true,2559716,10.137,""
584,true,2956890,10.002,""
585,true,3292228,10.092,""
586,true,2995458,10.330,""
587,true,3292228,10.044,""
588,true,3292228,10.053,""
589,true,3114319,10.004,""
590,true,3292228,10.044,""
591,true,2811462,10.109,""
592,true,3292228,10.085,""
593,true,3292228,10.045,""
594,true,2735020,10.433,""
595,true,3114319,10.123,""
596,true,3135526,10.252,""
597,true,3292228,10.074,""
598,true,3292228,10.074,""
599,true,3292228,10.115,""
600,true,3114319,10.185,""
601,true,3292228,10.051,""
602,true,3266113,10.003,""
603,true,3292228,10.041,""
604,true,3292228,10.069,""
605,true,3292228,10.055,""
606,true,3292228,10.051,""
607,true,3114319,10.356,""
608,true,3292228,10.034,""
609,true,3292228,10.074,""
610,true,3292228,10.029,""
611,true,2800556,10.139,""
612,true,3292228,10.025,""
613,true,3292228,10.086,""
614,true,3292228,10.107,""
615,true,3292228,10.042,""
616,true,2717161,10.376,""
617,true,3292228,10.055,""
618,true,3292228,10.027,""
619,true,3170188,10.010,""
620,true,3292228,10.086,""
621,true,2280135,10.038,""
622,true,3087748,10.361,""
623,true,3292228,10.052,""
624,true,3292228,10.067,""
625,true,3292228,10.039,""
626,true,2926601,10.351,""
627,true,3292228,10.052,""
628,true,3170188,10.002,""
629,true,3246718,10.004,""
630,true,882558,10.151,""
631,true,3292228,10.111,""
632,true,720671,10.041,""
633,true,2496057,10.476,""
634,true,3292228,10.069,""
635,true,3114319,10.356,""
636,true,3292228,10.114,""
637,true,3292228,10.107,""
638,true,3292228,10.085,""
639,true,3203010,10.003,""
640,true,2665953,10.110,""
641,true,2568016,10.149,""
642,true,3170188,9.998,""
643,true,3292228,10.046,""
644,true,3087748,10.011,""
645,true,3266113,10.015,""
646,true,3292228,10.082,""
647,true,3292228,10.111,""
648,true,3292228,10.025,""
649,true,3170188,10.000,""
650,true,3114319,10.103,""
651,true,3292228,10.072,""
652,true,2980728,10.824,""
653,true,3292228,10.035,""
654,true,3292228,10.038,""
655,true,2717161,10.998,""
656,true,3292228,10.074,""
657,true,3292228,10.052,""
658,true,3292228,10.037,""
659,true,1317364,10.230,""
660,true,3292228,10.214,""
661,true,3170188,9.999,""
662,true,3292228,10.024,""
663,true,3292228,10.052,""
664,true,3292228,10.180,""
665,true,2192313,10.025,""
666,true,3292228,10.094,""
667,true,3292228,10.041,""
668,true,3114319,10.027,""
669,true,3266113,10.014,""
670,true,3292228,10.043,""
671,true,3127865,10.035,""
672,true,3292228,10.122,""
673,true,3292228,10.068,""
674,true,3305859,10.118,""
675,true,3292228,10.042,""
676,true,3292228,10.170,""
677,true,3246718,9.999,""
678,true,3292228,10.049,""
679,true,3292228,10.082,""
680,true,3292228,10.050,""
681,true,3292228,10.038,""
682,true,3292228,10.021,""
683,true,771185,10.817,""
684,true,3292228,10.041,""
685,true,3292228,10.109,""
686,true,2958085,9.999,""
687,true,3292228,10.051,""
688,true,3292228,10.062,""
689,true,3292228,10.111,""
690,true,3292228,10.069,""
691,true,3292228,10.069,""
692,true,3114319,10.121,""
693,true,3292228,10.146,""
694,true,2569853,10.587,""
695,true,3114319,10.267,""
696,true,3231951,10.027,""
697,true,3292228,10.093,""
698,true,3292228,10.044,""
699,true,2884085,9.995,""
700,true,3292228,10.169,""
701,true,2884085,10.397,""
702,true,3292228,10.053,""
703,true,2842742,10.169,""
704,true,3292228,10.025,""
705,true,3292228,10.095,""
706,true,3292228,10.068,""
707,true,3292228,10.113,""
708,true,2926601,10.051,""
709,true,3136618,10.355,""
710,true,3292228,10.025,""
711,true,1357441,10.224,""
712,true,3203010,10.003,""
713,true,3292228,10.031,""
714,true,3292228,10.051,""
715,true,1919220,10.118,""
716,true,3292228,10.036,""
717,true,2811462,10.740,""
718,true,3292228,10.036,""
719,true,3292228,10.051,""
720,true,2884085,10.121,""
721,true,3292228,10.072,""
722,true,3114319,10.141,""
723,true,3292228,10.068,""
724,true,3292228,10.037,""
725,true,2869013,10.335,""
726,true,3292228,10.112,""
727,true,3292228,10.021,""
728,true,3127865,10.006,""
729,true,3002749,10.109,""
730,true,3292228,10.116,""
731,true,1956404,10.001,""
732,true,3292228,10.112,""
733,true,3038807,9.997,""
734,true,2008446,11.729,""
735,true,3292228,10.114,""
736,true,2884085,10.015,""
737,true,2112508,10.014,""
738,true,3292228,10.040,""
739,true,3203010,10.135,""
740,true,3292228,10.021,""
741,true,2735020,10.120,""
742,true,3292228,10.064,""
743,true,3087748,10.622,""
744,true,3292228,10.092,""
745,true,3292228,10.070,""
746,true,2811462,10.071,""
747,true,2603128,9.998,""
748,true,3292228,10.148,""
749,true,3292228,10.044,""
750,true,1814787,10.109,""
751,true,3292228,10.072,""
752,true,3292228,10.035,""
753,true,3292228,10.033,""
754,true,2939793,10.022,""
755,true,3292228,10.073,""
756,true,520652,10.003,""
757,true,3292228,10.119,""
758,true,3292228,10.031,""
759,true,2771544,10.013,""
760,true,3266113,10.010,""
761,true,2665953,10.007,""
762,true,2995458,10.225,""
763,true,3292228,10.117,""
764,true,3292228,10.068,""
765,true,3292228,10.084,""
766,true,3292228,10.039,""
767,true,3292228,10.053,""
768,true,3292228,10.072,""
769,true,3292228,10.036,""
770,true,3292228,10.026,""
771,true,3292228,10.123,""
772,true,3292228,10.116,""
773,true,3292228,10.112,""
774,true,3256112,10.014,""
775,true,3292228,10.064,""
776,true,3114319,10.629,""
777,true,3292228,10.084,""
778,true,1390049,10.000,""
779,true,3292228,10.073,""
780,true,3231951,10.122,""
781,true,3292228,10.094,""
782,true,3292228,10.024,""
783,true,3292228,10.047,""
784,true,3053003,10.245,""
785,true,3292228,10.069,""
786,true,882558,10.030,""
787,true,3292228,10.042,""
788,true,2884085,10.026,""
789,true,2869013,11.002,""
790,true,3292228,10.082,""
791,true,3292228,10.082,""
792,true,3292228,10.072,""
793,true,3292228,10.072,""
794,true,3292228,10.110,""
795,true,3292228,10.037,""
796,true,3292228,10.071,""
797,true,682220,7.886,"unexpected EOF"
798,true,1490479,11.284,""
799,true,3292228,10.084,""
800,true,3145288,9.999,""
801,true,3184278,9.998,""
802,true,3114319,10.112,""
803,true,3292228,10.069,""
804,true,1750183,10.005,""
805,true,3292228,10.068,""
806,true,3292228,10.075,""
807,true,2869013,10.396,""
808,true,3292228,10.115,""
809,true,3203010,10.006,""
810,true,3292228,10.185,""
811,true,3292228,10.046,""
812,true,3292228,10.064,""
813,true,3292228,10.040,""
814,true,3292228,10.051,""
815,true,3292228,10.084,""
816,true,1476751,10.681,""
817,true,3292228,10.116,""
818,true,3292228,10.073,""
819,true,3292228,10.102,""
820,true,3170188,9.998,""
821,true,3061319,10.109,""
822,true,3170188,10.122,""
823,true,3292228,10.072,""
824,true,3136618,10.032,""
825,true,3170188,10.203,""
826,true,1390049,12.054,""
827,true,3292228,10.042,""
828,true,3292228,10.031,""
829,true,836721,10.240,""
830,true,2443365,10.305,""
831,true,3170188,10.004,""
832,true,2980728,10.085,""
833,true,3292228,10.034,""
834,true,2956890,10.122,""
835,true,3266113,10.011,""
836,true,3292228,10.032,""
837,true,666687,10.188,""
838,true,2143642,10.085,""
839,true,3292228,10.068,""
840,true,3170188,10.000,""
841,true,3292228,10.026,""
842,true,3292228,10.086,""
843,true,3069990,11.069,""
844,true,3114319,10.123,""
845,true,3292228,10.030,""
846,true,3292228,10.035,""
847,true,3184278,10.006,""
848,true,2980728,10.255,""
849,true,1446235,10.020,""
850,true,3292228,10.042,""
851,true,3292228,10.083,""
852,true,3292228,10.083,""
853,true,3292228,10.068,""
854,true,3002749,10.351,""
855,true,3292228,10.067,""
856,true,3292228,10.037,""
857,true,3292228,10.127,""
858,true,3114319,10.023,""
859,true,2926601,10.071,""
860,true,3114319,10.354,""
861,true,3292228,10.120,""
862,true,3292228,10.073,""
863,true,1945206,10.012,""
864,true,3292228,10.110,""
865,true,3292228,10.073,""
866,true,3292228,10.045,""
867,true,3292228,10.066,""
868,true,3292228,10.084,""
869,true,3292228,10.072,""
870,true,3292228,10.075,""
871,true,3170188,10.001,""
872,true,3292228,10.024,""
873,true,3292228,10.093,""
874,true,3292228,10.069,""
875,true,3292228,10.026,""
876,true,3087748,10.026,""
877,true,3292228,10.085,""
878,true,1766948,10.144,""
879,true,3246718,10.026,""
880,true,3292228,10.098,""
881,true,3292228,10.074,""
882,true,3292228,10.034,""
883,true,3292228,10.052,""
884,true,3292228,10.108,""
885,true,3292228,10.114,""
886,true,3292228,10.065,""
887,true,3292228,10.021,""
888,true,2800556,10.085,""
889,true,2603128,11.649,""
890,true,3114319,10.035,""
891,true,3292228,10.034,""
892,true,3292228,10.028,""
893,true,3170188,10.121,""
894,true,3292228,10.085,""
895,true,3246718,10.001,""
896,true,2811462,10.095,""
897,true,3136618,10.014,""
898,true,3292228,10.116,""
899,true,2811462,10.142,""
900,true,3292228,10.031,""
901,true,3292228,10.052,""
902,true,2995458,10.141,""
903,true,3246718,10.004,""
904,true,3292228,10.122,""
905,true,1724706,10.116,""
906,true,3292228,10.055,""
907,true,3292228,10.119,""
908,true,3292228,10.117,""
909,true,3292228,10.118,""
910,true,3292228,10.036,""
911,true,3292228,10.054,""
912,true,3170188,10.142,""
913,true,3292228,10.121,""
914,true,3002749,10.246,""
915,true,3292228,10.115,""
916,true,3292228,10.075,""
917,true,3292228,10.032,""
918,true,1734108,10.140,""
919,true,1790210,10.364,""
920,true,3292228,10.070,""
921,true,1808649,10.838,""
922,true,3292228,10.068,""
923,true,3292228,10.095,""
924,true,3292228,10.021,""
925,true,3203010,10.138,""
926,true,3292228,10.089,""
927,true,3292228,10.069,""
928,true,3292228,10.034,""
929,true,3292228,10.114,""
930,true,1153213,10.287,""
931,true,3145288,9.999,""
932,true,1143212,10.240,""
933,true,2926601,10.021,""
934,true,3292228,10.116,""
935,true,3246718,9.996,""
936,true,3184278,10.006,""
937,true,3292228,10.069,""
938,true,3292228,10.026,""
939,true,3292228,10.114,""
940,true,3292228,10.092,""
941,true,3266113,10.014,""
942,true,1090110,10.832,""
943,true,3203010,10.007,""
944,true,3292228,10.051,""
945,true,3292228,10.029,""
946,true,3292228,10.068,""
947,true,3231951,10.110,""
948,true,2995458,10.001,""
949,true,3184278,10.015,""
950,true,3292228,10.069,""
951,true,3087748,10.772,""
952,true,3292228,10.052,""
953,true,3114319,10.108,""
954,true,3136618,10.021,""
955,true,3292228,10.082,""
956,true,3292228,10.034,""
957,true,3292228,10.027,""
958,true,2768463,10.304,""
959,true,3292228,10.043,""
960,true,3292228,10.119,""
961,true,3292228,10.068,""
962,true,3292228,10.112,""
963,true,2401652,10.649,""
964,true,3292228,10.040,""
965,true,2811462,10.222,""
966,true,1814787,10.144,""
967,true,3292228,10.044,""
968,true,3266113,10.010,""
969,true,3292228,10.066,""
970,true,3292228,10.082,""
971,true,3292228,10.042,""
972,true,3266113,10.005,""
973,true,3292228,10.071,""
974,true,3292228,10.021,""
975,true,3292228,10.042,""
976,true,3292228,10.110,""
977,true,3292228,10.118,""
978,true,2717161,10.006,""
979,true,3231951,10.007,""
980,true,3292228,10.032,""
981,true,3292228,10.023,""
982,true,3292228,10.021,""
983,true,3292228,10.064,""
984,true,3292228,10.071,""
985,true,3292228,10.041,""
986,true,3135526,10.246,""
987,true,3266113,10.011,""
988,true,2280135,10.031,""
989,true,1296636,10.109,""
990,true,1122824,10.238,""
991,true,3292228,10.068,""
992,true,3127865,10.465,""
993,true,3136618,10.023,""
994,true,3292228,10.084,""
